"image","prediction","caption_1","caption_2","caption_3","caption_4","caption_5","bleu_avg","bleu_max","bleu_min","meteor_avg","meteor_max","meteor_min","rouge_avg","rouge_max","rouge_min"
"NWPU_31430.jpg","a city is a city .","A gray plane on the runway and the lawn beside .","A grey plane is on the runway by the lawn .","There is an airplane on the runway with a large lawn by the runway .","A plane is parked on the runway next to the grass .","There is a plane on the runway beside the grass .","0","0","0","0.14388868151466133","0.24338624338624337","0.09523809523809525","0.22543859649122808","0.26666666666666666","0.13333333333333333"
"NWPU_31431.jpg","the sun is shining on the ground .","Three small planes parked in a line on the airport and a big plane behind them .","There are four aircraft on the open ground, The largest of which is three times as large as the smallest one .","There are many planes of different sizes in a clearing .","Four planes are parked on the runway .","Four planes of different sizes were on the marked ground .","0","0","0","0.20298114971555528","0.35046728971962615","0.04672897196261682","0.20537084398976982","0.3529411764705882","0"
"NWPU_31432.jpg","a shot of a building","A plane parked in a line on the airport with some marks .","A white plane was parked on the instruction line .","An airplane parked in an open area with many containers next to it .","A plane is parked on the open space .","There is 1 plane on the ground marked .","0","0","0","0.03854766538916869","0.08196721311475409","0","0.1063994828700711","0.23529411764705882","0"
"NWPU_31433.jpg","this image is for use with this specific article only .","A small plane and a big plane parked next to boarding bridges .","A white plane and a gray plane parked at the boarding port  The white plane was about four times as large as the gray one .","Two planes of different sizes are neatly parked next to the buildings in the airport .","A large plane and a small plane are parked near the terminal .","Two planes are on the marked ground .","0","0","0","0.038206438327371375","0.06024096385542169","0.020408163265306124","0","0","0"
"NWPU_31434.jpg","the - click for larger image","Two planes parked next to boarding bridges .","Two aircraft were parked at the departure gates .","Two planes of different sizes are neatly parked next to the buildings in the airport .","Two planes are parked next to the terminal .","Two planes are on the marked ground .","0","0","0","0.04247568523430593","0.06410256410256411","0","0.11487179487179486","0.16666666666666666","0"
"NWPU_31435.jpg","a view of the beach from the room","Three planes parked next to boarding bridges of the striped terminal .","Three planes parked on white open space around the building .","Several planes of different sizes are neatly parked beside buildings in the airport .","Many planes are parked around the terminal .","There are three planes on the ground on either side of the building .","0","0","0","0.08502129619386149","0.1293103448275862","0.04672897196261682","0.16718462823725982","0.2105263157894737","0.11111111111111112"
"NWPU_31436.jpg","a shot of the same scene","Three planes parked on the open area .","Three planes parked on white open space with rows of cars next to the open space .","Three planes parked beside buildings inside the airport, Many cars parked next to the plane .","Three planes and many cars are parked on the open space .","There are three planes on the ground .","0","0","0","0.05328087999388893","0.06410256410256411","0.031446540880503145","0.14047912871442284","0.18181818181818182","0.09523809523809522"
"NWPU_31437.jpg","the building is located in the center of the city .","A plane parked on the open area and the passing plane behind it .","Here are two white planes, One of which has a dark blue tail .","There are two planes of different sizes on a clearing .","Two planes are parked on the runway .","Two planes are on the marked ground .","0","0","0","0.10197102962211993","0.12048192771084339","0.0684931506849315","0.11923273657289005","0.17391304347826086","0.08695652173913043"
"NWPU_31438.jpg","a view of the beach from the room","A plane with the red mark and a white plane parked next to a boarding bridge while some facilities around them .","Here are two aircraft parked at the boarding port, And the larger one is five times as large as the smaller one .","Two planes of different sizes are neatly parked next to the buildings in the airport .","A large plane and a small plane are parked next to the terminal .","Two planes are on the marked ground .","0","0","0","0.07511817917856516","0.09868421052631579","0.0625","0.17118869136860143","0.26086956521739135","0.13333333333333333"
"NWPU_31439.jpg","a view of the city","A plane parked on the airport while some orange facilities and white cars around them .","There is a white plane in the open space, Surrounded by two white cars and three orange cars .","An airplane parked in an open area with many containers next to it .","A plane and many cars are parked on the open space .","There is an airplane in the parking lot .","0","0","0","0.05356065162374909","0.08849557522123892","0","0.15555183946488296","0.25000000000000006","0"
"NWPU_31440.jpg","a city is the largest city .","Four planes parked at three airports .","Three planes parked on white open space .","Several planes of the same size parked neatly next to the buildings inside the airport .","Three planes are parked on the open space next to the bare land .","Three planes are on the marked ground .","0","0","0","0.08054302492756327","0.12658227848101264","0.06329113924050632","0.07086948139579718","0.15384615384615383","0"
